Product_ID|Customer_ID|Rating|Subject|Body|Date
10|7|3|at pretium aliquet, metus|tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec non justo. Proin non|2011-07-19 00:08:20
5|8|2|est. Mauris|Aenean eget metus. In nec orci. Donec nibh. Quisque nonummy ipsum non arcu. Vivamus sit|2011-12-23 19:15:18
10|9|1|in consequat enim|lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus|2010-08-29 06:43:45
1|6|1|metus. Vivamus euismod urna.|ridiculus mus. Proin vel arcu eu odio tristique pharetra. Quisque ac libero nec ligula consectetuer|2010-09-14 01:19:58
1|7|4|erat, eget|Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede, nonummy ut, molestie in, tempus|2011-05-22 02:46:23
4|6|5|ullamcorper viverra. Maecenas iaculis aliquet|In ornare sagittis felis. Donec tempor, est ac mattis semper, dui lectus rutrum urna, nec|2011-09-03 12:52:35
5|10|2|ante. Vivamus non lorem|eu dui. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean|2010-09-13 05:05:54
8|1|3|sagittis placerat. Cras dictum|massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor at risus. Nunc ac sem ut|2011-08-18 06:35:38
2|7|3|iaculis|feugiat tellus lorem eu metus. In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede|2011-10-21 08:20:08
5|5|2|vitae|libero. Proin mi. Aliquam gravida mauris ut mi. Duis risus odio, auctor vitae, aliquet nec,|2011-01-20 15:45:48
4|2|3|et nunc.|et nunc. Quisque ornare tortor at risus. Nunc ac sem ut dolor dapibus gravida. Aliquam|2012-02-09 22:06:21
8|4|4|nonummy ac, feugiat non, lobortis|In lorem. Donec elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat|2011-06-04 01:21:28
7|7|5|fringilla|vitae semper egestas, urna justo faucibus lectus, a sollicitudin orci sem eget massa. Suspendisse eleifend.|2010-06-23 02:04:35
1|5|1|est ac facilisis|auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie|2010-05-26 10:25:15
4|1|4|In mi pede, nonummy|dapibus id, blandit at, nisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur|2010-07-06 20:13:01

